Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,24pF,
"C10, C12",402,2,1UF,
C11,402,1,10nF,
"C13, C15, C16, C19, C20",805,5,0.1uF,
C14,805,1,10uF,
C18,805,1,1uF,
C21,805,1,22uF,
"C3, C4",402,2,5pF,
C5,603,1,100nF,
"C6, C7, C8, C9",402,4,100nF,
D1,805,1,LED,
D2,D_SOD-123,1,D,C402213
FB1,603,1,600 @ 100mhz,C1002
J3,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
Q1,SOT-23,1,MMBT2222A 1P,C8512
Q2,TO-220-3_Vertical,1,IRFB7537PB,C537871
"R1, R6",402,2,5k1,
"R10, R13",402,2,100R,
"R3, R9",402,2,1K,
"R11, R14",805,2,100K,
R12,805,1,21K,
R15,805,1,32.4K,
R16,603,1,1K,
R2,402,1,47R,
R4,603,1,100R,
R5,603,1,15K,
R7,402,1,10K,
R8,402,1,4.7kΩ,
SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,EN,C139797
SW2,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,BOOT,C139797
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm,1,~,C529355
U3,SOT-223-3_TabPin2,1,LM1117-3.3,C6186
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C182057
Y2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,20Mhz,C5265859
