Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,24pF,C285039
"C10, C12",402,2,1UF,C52923
C11,402,1,10nF,C15195
"C13, C16, C20",805,3,0.1uF,C49678
"C14, C43",805,2,10uF,
"C15, C19",805,2,4.7uF,
"C18, C42",805,2,1uF,
C21,805,1,22uF,
C22,402,1,4.7uF ,C23733
"C23, C24, C25, C26, C28, C44, C6, C7, C8, C9",402,10,100nF,C307331
C27,603,1,100nF,
C29,402,1,220nF,C16772
"C3, C4",402,2,5pF,
"C30, C31",402,2,8pF,C26408
C32,402,1,4.7uF,
C33,402,1,3.4pF,C314280
C34,402,1,1.2pF,C72135
"C35, C39",402,2,100nF,C307331
"C36, C38",402,2,0.5pF,C86284
"C37, C40, C41",402,3,3pF,C88891
C45,603,1,10uF,C96446
C5,603,1,100nF,
COM-TO-STM1,SW-SMD_SS-3235S-L2,1,~,C500056
D1,D_SOD-123,1,D,C81601
"D2, D6, D7, D8",805,4,LED,C84256
FB1,603,1,600 @ 100mhz,C1002
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L1,805,1,10uH,C2922559
L2,402,1,22nH,C12670
L5,402,1,L,C97981
Q1,SOT-23,1,MMBT2222A 1P,C8512
Q2,TO-263-2,1,IRFB7537PB,
"R1, R5",402,2,5k1,C25905
"R10, R13",402,2,100R,C25076
"R11, R14",805,2,100K,C149504
R12,805,1,21K,C17550
R15,805,1,32.4K,C322423
R16,603,1,1K,C22764
"R17, R19",603,2,100R,C22775
R18,603,1,100K,C25803
R2,402,1,47R,C25118
"R22, R23, R24, R6, R9",402,5,1K,C11702
R3,603,1,100R,
R4,603,1,15K,
R7,402,1,10K,
R8,402,1,4.7kΩ,
SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,EN,C139797
SW2,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,BOOT,C139797
SW3,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,EN,C139797
SW4,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,BOOT_,C139797
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,LQFP-64_10x10mm_P0.5mm,1,~,C529361
U3,SOT-223-3_TabPin2,1,LM1117-3.3,C6186
U8,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q128JVSIQ,C97521
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C182057
Y2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,20Mhz,C5265859
Y3,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.7680 KHz 12.5 pF,C354937
Y4,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32.0000 MHz 8pF,C718072
